"Year","Argentina","Australia","Austria","Barbados","Belgium","Brazil","Bulgaria","Canada","Chile","Colombia","Cyprus","Czech Rep.","Denmark","Estonia","Finland","France","Germany","Greece","Hong Kong, China","Hungary","Iceland","Ireland","Italy","Jamaica","Japan","Korea, Rep.","Latvia","Lithuania","Luxembourg","Malta","Mexico","Netherlands","New Zealand","Norway","Peru","Poland","Portugal","Romania","Saint Lucia","Singapore","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","Taiwan","Trinidad and Tobago","Turkey","United Kingdom","United States","USSR","Venezuela","West Germany"
"2000",12.9300003051758,25.3899993896484,29.6800003051758,10.7299995422363,31.8899993896484,8.05000019073486,7.88000011444092,25.8500003814697,14.5699996948242,7.55999994277954,18.75,9.26000022888184,28.5400009155273,14.6300001144409,25.4300003051758,32.3600006103516,27.0599994659424,15.7299995422363,21.1299991607666,10.4799995422363,19.9699993133545,29.2900009155273,29.2199993133545,5.21999979019165,22.3899993896484,13.4399995803833,10.0900001525879,9.17000007629394,33.3400001525879,17.3099994659424,8.72999954223633,30.2700004577637,19.2199993133545,33.3899993896484,,9.71000003814697,17.1499996185303,3.28999996185303,4.69000005722046,18.5900001525879,12.0799999237061,16.3899993896484,21.8700008392334,26.5100002288818,24.8600006103516,17.3999996185303,20.4699993133545,10.1499996185303,26.7299995422363,31.1000003814697,,12.25,
"2001",12.1599998474121,26.4400005340576,29.8099994659424,10.2299995422363,31.7299995422363,8.25,8.19999980926514,26.5300006866455,14.3900003433228,7.34999990463257,17.8199996948242,9.88000011444092,28.3799991607666,15.6899995803833,25.9599990844727,32.6500015258789,27.5499992370605,16.3600006103516,21.0100002288818,9.68000030517578,20.75,29.8099994659424,29.2199993133545,5.23999977111816,22.7000007629395,13.7700004577637,10.7200002670288,10.25,32.25,17.3099994659424,8.82999992370606,30.4699993133545,19.5699996948242,34.5499992370606,,10.1199998855591,16.4599990844727,3.49000000953674,4.53999996185303,16.7700004577637,12.4799995422363,16.7000007629395,21.8700008392334,26.6499996185303,25.2900009155273,18.1499996185303,20.8099994659424,9.39000034332275,27.0699996948242,31.7000007629394,,12.3500003814697,
"2002",12.1800003051758,27.0699996948242,30.2299995422363,10.460000038147,32.2099990844727,8.15999984741211,8.5600004196167,26.9300003051758,14.4399995803833,7.51000022888184,18.0300006866455,10.1199998855591,28.6399993896484,16.6900005340576,26.2299995422363,33.6699981689453,27.9500007629395,16.6399993896484,21.5900001525879,10.0600004196167,21.3999996185303,31.2700004577637,29.0200004577637,4.86999988555908,23.1900005340576,14.5699996948242,11.2799997329712,10.7399997711182,32.7799987792969,17.5300006866455,8.56999969482422,30.6700000762939,19.8999996185303,35.310001373291,,10.5699996948242,16.5200004577637,4.07999992370606,4.96000003814697,17.8099994659424,13.460000038147,17.2199993133545,22.0799999237061,27.5400009155273,25.5200004577637,18.6700000762939,22.2099990844727,10.210000038147,27.7800006866455,32.6399993896484,,11.3199996948242,
"2003",12.4799995422363,27.5100002288818,30.1700000762939,10.5900001525879,32.5800018310547,8.09000015258789,8.77999973297119,26.9500007629395,14.5699996948242,7.34999990463257,17.8999996185303,10.6199998855591,29.1800003051758,17.6000003814697,26.7900009155273,34.1100006103516,28.2900009155273,17.0499992370605,22.4200000762939,10.4899997711182,22.0100002288818,32.5499992370606,28.6800003051758,4.82999992370606,23.5699996948242,15.2299995422363,11.7700004577637,11.6999998092651,33.0200004577637,17.4500007629395,8.73999977111816,31.0900001525879,20.1700000762939,36.439998626709,,11.0699996948242,16.7000007629395,4.32999992370606,4.73000001907349,18.4899997711182,14.3800001144409,17.6700000762939,21.8600006103516,28.4200000762939,25.3700008392334,19.0900001525879,24.6000003814697,10.8999996185303,28.5699996948242,33.6199989318848,,10.3599996566772,
"2004",12.7700004577637,27.6900005340576,31.1900005340576,10.8900003433228,33.7599983215332,8.05000019073486,9,27.0699996948242,15.1599998474121,7.57000017166138,18.0699996948242,10.9799995422363,29.7000007629394,18.9200000762939,27.6100006103516,34.2599983215332,28.4899997711182,17.9099998474121,23.75,11.0799999237061,23.7700004577637,32.9300003051758,28.8899993896484,4.86999988555908,24.3299999237061,15.9200000762939,13.0100002288818,12.3999996185303,34.060001373291,17.2800006866455,8.80000019073486,32.1199989318848,20.0699996948242,37.1699981689453,,11.5200004577637,16.3500003814697,4.76999998092651,5.11999988555908,19.8500003814697,14.8999996185303,18.7800006866455,21.7299995422363,29.3500003814697,25.9300003051758,19.5599994659424,24.8500003814697,11.6800003051758,29.3899993896484,34.5299987792969,,12.1199998855591,
"2005",13.0100002288818,27.7399997711182,31.0599994659424,11.0900001525879,33.4599990844727,7.98999977111816,9.34000015258789,27.7099990844727,15.5699996948242,7.65999984741211,18.3299999237061,11.460000038147,30.1000003814697,20.3500003814697,28.1200008392334,34.8800010681152,28.8799991607666,18.4200000762939,25.0799999237061,11.539999961853,24.8500003814697,33.3600006103516,29,4.92000007629394,24.8400001525879,16.6499996185303,14.039999961853,12.5799999237061,34.7299995422363,17.4899997711182,8.82999992370606,32.7599983215332,20.1000003814697,37.7000007629394,,11.6099996566772,16.5400009155273,4.92000007629394,5.65999984741211,20.8899993896484,15.3100004196167,19.4899997711182,21.6700000762939,30,26.4200000762939,20.1900005340576,26.5200004577637,12.3999996185303,29.7199993133545,35.1100006103516,,13.539999961853,
"2006",,27.9400005340576,31.75,,34.0099983215332,,9.64999961853027,27.9300003051758,,,18.7199993133545,12.0299997329712,30.2600002288818,21.5,29.2900009155273,35.1800003051758,29.4899997711182,18.9799995422363,,11.9399995803833,24.2900009155273,34.1399993896484,29.2800006866455,,25.1499996185303,17.6200008392334,15.0699996948242,13.4099998474121,34.7299995422363,17.9400005340576,9.1899995803833,32.9599990844727,20.3299999237061,37.9900016784668,,11.9200000762939,16.5699996948242,5.17999982833862,,,16.1299991607666,20.2700004577637,21.6900005340576,30.8199996948242,26.5699996948242,,,13,30.4300003051758,35.6300010681152,,,

GDP per working hour, (constant 1990$)

